time,latitude,longitude,mean_analysed_sst
2016-01-01,-59.98,-47.98,0.55
2016-01-01,-59.98,-46.98,0.59
2016-01-01,-59.98,-45.98,0.74
2016-01-01,-59.98,-44.98,0.68
2016-01-01,-59.98,-43.98,0.74
2016-01-01,-59.98,-42.98,0.74
2016-01-01,-59.98,-41.98,0.88
2016-01-01,-59.98,-40.98,0.5
2016-01-01,-59.98,-39.98,0.13
2016-01-01,-59.98,-38.98,0.18
2016-01-01,-59.98,-37.98,0.42
2016-01-01,-59.98,-36.98,0.57
2016-01-01,-59.98,-35.98,0.26
2016-01-01,-59.98,-34.98,-0.01
2016-01-01,-59.98,-33.98,0.22
2016-01-01,-59.98,-32.98,0.12
2016-01-01,-59.98,-31.98,0.04
2016-01-01,-59.98,-30.98,-0.21
2016-01-01,-59.98,-29.98,-0.38
2016-01-01,-59.98,-28.98,-0.65
2016-01-01,-59.98,-27.98,-0.81
2016-01-01,-59.98,-26.98,-0.74
2016-01-01,-59.98,-25.98,-0.61
2016-01-01,-59.98,-24.98,0.07
2016-01-01,-59.98,-23.98,0.57
2016-01-01,-59.98,-22.98,0.26
2016-01-01,-59.98,-21.98,0.17
2016-01-01,-59.98,-20.98,0.07
2016-01-01,-59.98,-19.98,-0.14
2016-01-01,-59.98,-18.98,-0.14
2016-01-01,-59.98,-17.98,-0.39
2016-01-01,-59.98,-16.98,-0.38
2016-01-01,-59.98,-15.98,-0.51
2016-01-01,-59.98,-14.98,-0.67
2016-01-01,-59.98,-13.98,-0.76
2016-01-01,-59.98,-12.98,-0.65
2016-01-01,-59.98,-11.98,-0.46
2016-01-01,-59.98,-10.98,-0.47
2016-01-01,-59.98,-9.98,-0.47
2016-01-01,-59.98,-8.98,-0.41
2016-01-01,-59.98,-7.98,-0.51
2016-01-01,-59.98,-6.98,-0.5
2016-01-01,-59.98,-5.98,-0.47
2016-01-01,-59.98,-4.97,-0.25
2016-01-01,-59.98,-3.98,-0.18
2016-01-01,-59.98,-2.98,-0.13
2016-01-01,-59.98,-1.98,-0.18
2016-01-01,-59.98,-0.98,-0.18
2016-01-01,-59.98,0.02,-0.26
2016-01-01,-59.98,1.02,-0.17
2016-01-01,-59.98,2.02,-0.17
2016-01-01,-59.98,3.02,-0.12
2016-01-01,-59.98,4.03,-0.18
2016-01-01,-59.98,5.03,-0.13
2016-01-01,-59.98,6.02,-0.05
2016-01-01,-59.98,7.02,-0.17
2016-01-01,-59.98,8.02,-0.17
2016-01-01,-59.98,9.02,-0.09
2016-01-01,-59.98,10.02,-0.07
2016-01-01,-59.98,11.02,-0.07
2016-01-01,-59.98,12.02,0.03
2016-01-01,-59.98,13.02,0.16
2016-01-01,-59.98,14.02,0.03
2016-01-01,-59.98,15.02,0.06
2016-01-01,-59.98,16.02,0.02
2016-01-01,-59.98,17.02,0.16
2016-01-01,-59.98,18.02,0.37
2016-01-01,-59.98,19.02,0.27
2016-01-01,-59.98,20.02,0.46
2016-01-01,-59.98,21.02,0.79
2016-01-01,-59.98,22.02,0.82
2016-01-01,-59.98,23.02,0.86
2016-01-01,-59.98,24.02,0.86
2016-01-01,-59.98,25.02,0.83
2016-01-01,-59.98,26.02,0.86
2016-01-01,-59.98,27.02,0.79
2016-01-01,-59.98,28.02,0.78
2016-01-01,-59.98,29.02,1.1
2016-01-01,-59.98,30.02,0.89
2016-01-01,-59.98,31.02,0.81
2016-01-01,-59.98,32.02,0.86
2016-01-01,-59.98,33.02,1.02
2016-01-01,-59.98,34.02,1.19
2016-01-01,-59.98,35.02,0.89
2016-01-01,-59.98,36.02,0.83
2016-01-01,-59.98,37.02,0.93
2016-01-01,-59.98,38.02,1.09
2016-01-01,-59.98,39.02,1.16
2016-01-01,-59.98,40.02,1.05
2016-01-01,-59.98,41.02,1.06
2016-01-01,-59.98,42.02,0.86
2016-01-01,-59.98,43.02,0.87
2016-01-01,-59.98,44.02,0.87
2016-01-01,-59.98,45.02,0.83
2016-01-01,-59.98,46.02,0.85
2016-01-01,-59.98,47.02,0.96
2016-01-01,-59.98,48.02,0.81
2016-01-01,-59.98,49.02,0.75
2016-01-01,-59.98,50.02,0.63
2016-01-01,-59.98,51.02,0.79
2016-01-01,-59.98,52.02,0.89
2016-01-01,-59.98,53.02,0.92
2016-01-01,-59.98,54.02,0.75
2016-01-01,-59.98,55.02,0.89
2016-01-01,-59.98,56.02,0.76
2016-01-01,-59.98,57.02,0.88
2016-01-01,-59.98,58.02,0.84
2016-01-01,-59.98,59.02,0.86
2016-01-01,-59.98,60.02,0.86
2016-01-01,-59.98,61.02,1.19
2016-01-01,-59.98,62.02,1.29
2016-01-01,-59.98,63.02,0.87
2016-01-01,-59.98,64.03,0.78
2016-01-01,-59.98,65.03,0.6
2016-01-01,-59.98,66.03,0.66
2016-01-01,-59.98,67.03,0.82
2016-01-01,-59.98,68.03,0.64
2016-01-01,-59.98,69.03,0.51
2016-01-01,-59.98,70.03,0.47
2016-01-01,-59.98,71.03,0.4
2016-01-01,-59.98,72.03,0.38
2016-01-01,-59.98,73.03,0.34
2016-01-01,-59.98,74.03,0.34
2016-01-01,-59.98,75.03,0.45
2016-01-01,-59.98,76.03,0.55
2016-01-01,-59.98,77.03,0.55
2016-01-01,-59.98,78.03,0.5
2016-01-01,-59.98,79.03,0.46
2016-01-01,-59.98,80.03,0.57
2016-01-01,-59.98,81.03,0.46
2016-01-01,-59.98,82.02,0.5
2016-01-01,-59.98,83.02,0.57
2016-01-01,-59.98,84.02,0.64
2016-01-01,-59.98,85.02,0.48
2016-01-01,-59.98,86.02,0.95
2016-01-01,-59.98,87.02,1.65
2016-01-01,-59.98,88.02,1.36
2016-01-01,-59.98,89.02,1.37
2016-01-01,-59.98,90.02,1.51
2016-01-01,-59.98,91.02,1.34
2016-01-01,-59.98,92.02,1.17
2016-01-01,-59.98,93.02,1.38
2016-01-01,-59.98,94.02,1.32
2016-01-01,-59.98,95.02,1.2
2016-01-01,-59.98,96.02,1.0
2016-01-01,-59.98,97.02,0.81
2016-01-01,-59.98,98.02,0.99
2016-01-01,-59.98,99.02,1.1
2016-01-01,-59.98,100.02,1.04
2016-01-01,-59.98,101.02,1.05
2016-01-01,-59.98,102.02,0.98
2016-01-01,-59.98,103.02,0.98
2016-01-01,-59.98,104.02,1.12
2016-01-01,-59.98,105.02,1.07
2016-01-01,-59.98,106.02,0.97
2016-01-01,-59.98,107.02,0.98
2016-01-01,-59.98,108.02,0.78
2016-01-01,-59.98,109.02,0.78
2016-01-01,-59.98,110.02,1.05
2016-01-01,-59.98,111.02,1.18
2016-01-01,-59.98,112.02,1.65
2016-01-01,-59.98,113.02,1.56
2016-01-01,-59.98,114.02,1.4
2016-01-01,-59.98,115.02,1.33
