time,latitude,longitude,mean_CHL
2009-12-01,-59.98,-179.98,0.577
2009-12-01,-59.98,-178.98,0.589
2009-12-01,-59.98,-177.98,0.483
2009-12-01,-59.98,-176.98,0.599
2009-12-01,-59.98,-175.98,0.552
2009-12-01,-59.98,-174.98,0.492
2009-12-01,-59.98,-173.98,0.566
2009-12-01,-59.98,-172.98,0.433
2009-12-01,-59.98,-171.98,0.56
2009-12-01,-59.98,-170.98,0.572
2009-12-01,-59.98,-169.98,0.608
2009-12-01,-59.98,-168.98,0.629
2009-12-01,-59.98,-167.98,0.636
2009-12-01,-59.98,-166.98,0.748
2009-12-01,-59.98,-165.98,0.695
2009-12-01,-59.98,-164.98,0.586
2009-12-01,-59.98,-163.98,0.573
2009-12-01,-59.98,-162.98,0.683
2009-12-01,-59.98,-161.98,0.754
2009-12-01,-59.98,-160.98,0.853
2009-12-01,-59.98,-159.98,0.794
2009-12-01,-59.98,-158.98,0.817
2009-12-01,-59.98,-157.98,0.741
2009-12-01,-59.98,-156.98,0.686
2009-12-01,-59.98,-155.98,0.826
2009-12-01,-59.98,-154.98,0.404
2009-12-01,-59.98,-153.98,0.291
2009-12-01,-59.98,-152.98,0.409
2009-12-01,-59.98,-151.98,0.404
2009-12-01,-59.98,-150.98,0.309
2009-12-01,-59.98,-149.98,0.331
2009-12-01,-59.98,-148.98,0.361
2009-12-01,-59.98,-147.98,0.44
2009-12-01,-59.98,-146.98,0.477
2009-12-01,-59.98,-145.98,0.492
2009-12-01,-59.98,-144.98,0.531
2009-12-01,-59.98,-143.98,0.463
2009-12-01,-59.98,-142.98,0.443
2009-12-01,-59.98,-141.98,0.488
2009-12-01,-59.98,-140.98,0.454
2009-12-01,-59.98,-139.98,0.49
2009-12-01,-59.98,-138.98,0.311
2009-12-01,-59.98,-137.98,0.371
2009-12-01,-59.98,-136.98,0.31
2009-12-01,-59.98,-135.98,0.251
2009-12-01,-59.98,-134.98,0.242
2009-12-01,-59.98,-133.98,0.314
2009-12-01,-59.98,-132.98,0.272
2009-12-01,-59.98,-131.98,0.223
2009-12-01,-59.98,-130.98,0.251
2009-12-01,-59.98,-129.98,0.277
2009-12-01,-59.98,-128.98,0.265
2009-12-01,-59.98,-127.98,0.346
2009-12-01,-59.98,-126.98,0.464
2009-12-01,-59.98,-125.98,0.432
2009-12-01,-59.98,-124.98,0.486
2009-12-01,-59.98,-123.98,0.406
2009-12-01,-59.98,-122.98,0.335
2009-12-01,-59.98,-121.98,0.376
2009-12-01,-59.98,-120.98,0.365
2009-12-01,-59.98,-119.98,0.37
2009-12-01,-59.98,-118.98,0.41
2009-12-01,-59.98,-117.98,0.464
2009-12-01,-59.98,-116.98,0.391
2009-12-01,-59.98,-115.98,0.359
2009-12-01,-59.98,-114.98,0.402
2009-12-01,-59.98,-113.98,0.455
2009-12-01,-59.98,-112.98,0.453
2009-12-01,-59.98,-111.98,0.588
2009-12-01,-59.98,-110.98,0.599
2009-12-01,-59.98,-109.98,0.505
2009-12-01,-59.98,-108.98,0.501
2009-12-01,-59.98,-107.98,0.541
2009-12-01,-59.98,-106.98,0.414
2009-12-01,-59.98,-105.98,0.347
2009-12-01,-59.98,-104.98,0.377
2009-12-01,-59.98,-103.98,0.488
2009-12-01,-59.98,-102.98,0.74
2009-12-01,-59.98,-101.98,0.443
2009-12-01,-59.98,-100.98,0.364
2009-12-01,-59.98,-99.98,0.409
2009-12-01,-59.98,-98.98,0.249
2009-12-01,-59.98,-97.98,0.251
2009-12-01,-59.98,-96.98,0.22
2009-12-01,-59.98,-95.98,0.3
2009-12-01,-59.98,-94.98,0.302
2009-12-01,-59.98,-93.98,0.361
2009-12-01,-59.98,-92.98,0.441
2009-12-01,-59.98,-91.98,0.403
2009-12-01,-59.98,-90.98,0.547
2009-12-01,-59.98,-89.98,0.52
2009-12-01,-59.98,-88.98,0.401
2009-12-01,-59.98,-87.98,0.493
2009-12-01,-59.98,-86.98,0.389
2009-12-01,-59.98,-85.98,0.417
2009-12-01,-59.98,-84.98,0.266
2009-12-01,-59.98,-83.98,0.201
2009-12-01,-59.98,-82.98,0.3
2009-12-01,-59.98,-81.98,0.225
2009-12-01,-59.98,-80.98,0.201
2009-12-01,-59.98,-79.98,0.19
2009-12-01,-59.98,-78.98,0.189
2009-12-01,-59.98,-77.98,0.205
2009-12-01,-59.98,-76.98,0.308
2009-12-01,-59.98,-75.98,0.201
2009-12-01,-59.98,-74.98,0.22
2009-12-01,-59.98,-73.98,0.326
2009-12-01,-59.98,-72.98,0.401
2009-12-01,-59.98,-71.98,0.471
2009-12-01,-59.98,-70.98,0.686
2009-12-01,-59.98,-69.98,0.517
2009-12-01,-59.98,-68.98,0.506
2009-12-01,-59.98,-67.98,0.56
2009-12-01,-59.98,-66.98,0.556
2009-12-01,-59.98,-65.98,0.585
2009-12-01,-59.98,-64.98,0.371
2009-12-01,-59.98,-63.98,0.275
2009-12-01,-59.98,-62.98,0.18
2009-12-01,-59.98,-61.98,0.149
2009-12-01,-59.98,-60.98,0.197
2009-12-01,-59.98,-59.98,0.383
2009-12-01,-59.98,-58.98,0.157
2009-12-01,-59.98,-57.98,0.175
2009-12-01,-59.98,-56.98,0.199
2009-12-01,-59.98,-55.98,0.237
2009-12-01,-59.98,-54.98,0.462
2009-12-01,-59.98,-53.98,0.587
2009-12-01,-59.98,-52.98,0.589
2009-12-01,-59.98,-51.98,0.594
2009-12-01,-59.98,-50.98,0.496
2009-12-01,-59.98,-49.98,0.491
2009-12-01,-59.98,-48.98,0.864
2009-12-01,-59.98,-47.98,1.444
2009-12-01,-59.98,-46.98,1.369
2009-12-01,-59.98,-45.98,1.306
2009-12-01,-59.98,-44.98,1.517
2009-12-01,-59.98,-43.98,1.135
2009-12-01,-59.98,-42.98,1.275
2009-12-01,-59.98,-41.98,0.766
2009-12-01,-59.98,-40.98,0.716
2009-12-01,-59.98,-39.98,0.764
2009-12-01,-59.98,-38.98,0.859
2009-12-01,-59.98,-37.98,0.574
2009-12-01,-59.98,-36.98,0.557
2009-12-01,-59.98,-35.98,0.657
2009-12-01,-59.98,-34.98,0.87
2009-12-01,-59.98,-33.98,1.052
2009-12-01,-59.98,-32.98,0.718
2009-12-01,-59.98,-31.98,1.288
2009-12-01,-59.98,-30.98,0.544
2009-12-01,-59.98,-29.98,0.245
2009-12-01,-59.98,-28.98,0.245
2009-12-01,-59.98,-27.98,1.508
2009-12-01,-59.98,-25.98,1.242
2009-12-01,-59.98,-24.98,1.57
2009-12-01,-59.98,-23.98,0.813
2009-12-01,-59.98,-22.98,0.839
2009-12-01,-59.98,-21.98,0.475
2009-12-01,-59.98,-20.98,0.491
2009-12-01,-59.98,-19.98,0.567
2009-12-01,-59.98,-18.98,0.636
2009-12-01,-59.98,-17.98,1.033
2009-12-01,-59.98,-16.98,0.601
2009-12-01,-59.98,-15.98,0.922
2009-12-01,-59.98,-14.98,0.356
2009-12-01,-59.98,-9.98,0.468
2009-12-01,-59.98,-8.98,0.592
2009-12-01,-59.98,-7.98,0.481
2009-12-01,-59.98,-6.98,0.487
2009-12-01,-59.98,-5.98,0.484
2009-12-01,-59.98,-4.98,0.36
2009-12-01,-59.98,-3.98,0.404
2009-12-01,-59.98,-2.98,0.24
2009-12-01,-59.98,-1.98,0.533
2009-12-01,-59.98,-0.98,0.814
2009-12-01,-59.98,0.02,0.667
