key,Total Occurrences,whaleSharkID,organismID,identificationID,Oldest Occurrence,Newest Occurrence,HUMAN_OBSERVATION,MACHINE_OBSERVATION,sex,lifeStage (year),continent (year),publishingCountry (year),country (year),stateProvince - verbatimLocality (month year),occurrenceRemarks (eventDate),lat:decimalLatitude long:decimalLongitude (eventDate),"imageURL (license, creator)"
3089691411,6,101369a,101369a,,2010-09-12,2010-09-12,0,6,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-09-12),lat:22.5 long:-89.5 (Gulf of Mexico 2010-09-12),Unknown
3085502431,6,161732,161732,,2016-08-31,2016-08-31,0,6,Male,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-08-31),lat:-19.5 long:116.5 (Northwest Australian Shelf 2016-08-31),Unknown
3089691375,7,101367a,101367a,,2010-09-19,2010-09-19,0,7,Unknown,Adult (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-09-19),lat:21.5 long:-87.5 (Gulf of Mexico 2010-09-19),Unknown
3089691395,8,101369a,101369a,,2010-08-17,2010-08-17,0,8,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-08-17),lat:22.5 long:-86.5 (Gulf of Mexico 2010-08-17),Unknown
3089691436,8,101367a,101367a,,2010-08-30,2010-08-30,0,8,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-08-30),lat:22.5 long:-88.5 (Gulf of Mexico 2010-08-30),Unknown
3089691454,8,101367a,101367a,,2010-08-21,2010-08-21,0,8,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-08-21),lat:22.5 long:-87.5 (Gulf of Mexico 2010-08-21),Unknown
3085502417,9,143670,143670,,2016-06-07,2016-06-07,0,9,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-07),lat:-20.5 long:114.5 (Northwest Australian Shelf 2016-06-07),Unknown
3085502381,18,143669,143669,,2016-06-08,2016-06-08,0,18,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-08),lat:-20.5 long:115.5 (Northwest Australian Shelf 2016-06-08),Unknown
3085502387,19,143669,143669,,2016-06-14,2016-06-14,0,19,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-14),lat:-19.5 long:115.5 (Northwest Australian Shelf 2016-06-14),Unknown
3085502397,20,143669,143669,,2016-06-07,2016-06-07,0,20,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-07),lat:-21.5 long:114.5 (Northwest Australian Shelf 2016-06-07),Unknown
3085502404,21,143669,143669,,2016-06-01,2016-06-01,0,21,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-01),lat:-21.5 long:113.5 (Northwest Australian Shelf 2016-06-01),Unknown
3089691322,23,101366a,101366a,,2010-07-23,2010-07-23,0,23,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-07-23),lat:21.5 long:-86.5 (Caribbean Sea 2010-07-23),Unknown
3085502353,25,143669,143669,,2016-06-03,2016-06-03,0,25,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-03),lat:-22.5 long:113.5 (West Central Australian Shelf 2016-06-03),Unknown
