whaleSharkID,Total Occurrences,organismID,identificationID,Oldest Occurrence,Newest Occurrence,HUMAN_OBSERVATION,MACHINE_OBSERVATION,sex,lifeStage (year),continent (year),publishingCountry (year),country (year),stateProvince - verbatimLocality (month year),occurrenceRemarks (eventDate),lat:decimalLatitude long:decimalLongitude (eventDate),"imageURL (license, creator)"
66722968,1,,66722968,2019-08-13,2019-08-13,1,0,Female,Juvenile (2019),Asia (2019),United States (2019),Thailand (2019),Surat Thani - Thailand (Aug 2019),Unknown,lat:10.195919 long:99.750547 (Gulf of Thailand 2019-08-13),"https://inaturalist-open-data.s3.amazonaws.com/photos/48126075/original.jpeg (license: CC BY [Attribution], creator: Dan Schofield), https://inaturalist-open-data.s3.amazonaws.com/photos/48126098/original.jpeg (license: CC BY [Attribution], creator: Dan Schofield), https://inaturalist-open-data.s3.amazonaws.com/photos/48126126/original.jpeg (license: CC BY [Attribution], creator: Dan Schofield), https://inaturalist-open-data.s3.amazonaws.com/photos/48126082/original.jpeg (license: CC BY [Attribution], creator: Dan Schofield), https://inaturalist-open-data.s3.amazonaws.com/photos/48126087/original.jpeg (license: CC BY [Attribution], creator: Dan Schofield), https://inaturalist-open-data.s3.amazonaws.com/photos/48126116/original.jpeg (license: CC BY [Attribution], creator: Dan Schofield), https://inaturalist-open-data.s3.amazonaws.com/photos/48126104/original.jpeg (license: CC BY [Attribution], creator: Dan Schofield)"
68836243,1,,68836243,2019-08-16,2019-08-16,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),Unknown,Unknown,lat:21.590477 long:-86.286781 (Caribbean Sea 2019-08-16),"https://inaturalist-open-data.s3.amazonaws.com/photos/49741697/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Neil DeMaster)"
68980102,1,,68980102,2019-08-28,2019-08-28,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Unknown,Unknown,lat:21.75785 long:-86.772663 (Gulf of Mexico 2019-08-28),"https://inaturalist-open-data.s3.amazonaws.com/photos/49846098/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Alexis García), https://inaturalist-open-data.s3.amazonaws.com/photos/49846141/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Alexis García)"
69265623,1,,69265623,2019-08-20,2019-08-20,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),Unknown,Unknown,lat:21.738573 long:-87.117111 (Gulf of Mexico 2019-08-20),"https://inaturalist-open-data.s3.amazonaws.com/photos/50049319/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Becky Hansis-O'Neill), https://inaturalist-open-data.s3.amazonaws.com/photos/50049309/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Becky Hansis-O'Neill)"
75062770,1,,75062770,2019-08-30,2019-08-30,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Unknown,Agregación de tiburón ballena (2019-08-30),lat:21.455971 long:-86.747413 (Caribbean Sea 2019-08-30),"https://inaturalist-open-data.s3.amazonaws.com/photos/54486878/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafael de la Parra)"
75062771,1,,75062771,2019-08-30,2019-08-30,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Unknown,Agregación de tiburón ballena (2019-08-30),lat:21.400836 long:-86.750054 (Caribbean Sea 2019-08-30),"https://inaturalist-open-data.s3.amazonaws.com/photos/54486887/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafael de la Parra)"
79588956,1,,79588956,2019-08-03,2019-08-03,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Unknown,Fotografía de Emilio de la Parra (2019-08-03),lat:21.564978 long:-86.781173 (Gulf of Mexico 2019-08-03),"https://inaturalist-open-data.s3.amazonaws.com/photos/57404886/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafael de la Parra)"
79588955,1,,79588955,2019-08-03,2019-08-03,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Unknown,Fotografía de Emilio de la Parra (2019-08-03),lat:21.425437 long:-86.779933 (Caribbean Sea 2019-08-03),"https://inaturalist-open-data.s3.amazonaws.com/photos/57404883/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafael de la Parra)"
80341533,1,,80341533,2019-08-03,2019-08-03,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Unknown,Unknown,lat:21.456082 long:-86.705862 (Caribbean Sea 2019-08-03),"https://inaturalist-open-data.s3.amazonaws.com/photos/57813515/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafael de la Parra)"
91149492,1,,91149492,2019-08-06,2019-08-06,1,0,Unknown,Unknown (2019),Africa (2019),United States (2019),South Africa (2019),"Western Cape - Eden, ZA-WC, ZA (Aug 2019)",Unknown,lat:-34.161017 long:22.864213 (Agulhas Current 2019-08-06),"https://inaturalist-open-data.s3.amazonaws.com/photos/63998289/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: mary-hunter), https://inaturalist-open-data.s3.amazonaws.com/photos/63998287/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: mary-hunter)"
